District,Party,Name,memberid,year,networth,income,Female,Race,Years in Military,Religion,Occupation,Marital Status,Highest Degree,Birth Year,Year First Elected ,Speaker,Majority Leader,Minority Leader,Appropriation,Finance & Tax,Rules,Agriculture,Education,Health,Judiciary,Vote Share
35,R,"Ingoglia, Blaise",4603,2016,5019459,352777,0,White,0,Christian,Homebuilder,Married,High School Diploma,1970,2015,0,0,0,0,0,0,0,0,0,0,
36,D,"Murphy, Amanda",4596,2016,,,1,White,0,Christian,Financial Advisor,Married,BS,1970,2014,0,0,0,0,0,0,0,0,0,0,
37,R,"Corcoran, Richard",4503,2016,341750,204300,0,White,6,Presbyterian,Attorney,Married,JD,1965,2011,0,0,0,2,0,0,0,0,0,0,
38,R,"Burgess, Jr., Daniel Wright ""Danny""",4604,2016,-247002.2,67983,0,White,0,Catholic,Attorney,Married,JD,1986,2015,0,0,0,0,0,0,0,0,0,0,
39,R,"Combee, Neil",4567,2016,661613.02,64690.15,0,White,0,Baptist,"Agribusiness, Real Estate Sales",Married,BS,1959,2013,0,0,0,0,0,0,1,0,0,0,
40,R,"Burton, Colleen",4616,2016,214666,29697,1,White,0,Catholic,Consultant: Strategic Planning Community Visioning,Married,BS,1958,2015,0,0,0,0,0,0,0,0,1,1,
41,R,"Wood, John",4453,2016,,,0,White,0,Episcopal,"Attorney, Realtor, CEO of John Wood Enterpises",Not Married,JD,1952,2009,0,0,0,1,0,0,0,0,0,1,
42,R,"La Rosa, Mike",4546,2016,431602.65,71364.59,0,Hispanic,0,Catholic,Real Estate Brokerage & Development,Married,BS,1982,2013,0,0,0,0,0,0,0,0,0,0,
43,D,"Cortes, John",4605,2016,15000,47173,0,Hispanic,0,Christian,Retired Corrections Officer,Married,BS,1961,2015,0,0,0,0,0,0,0,0,0,0,
44,R,"Eisnaugle, Eric",4449,2016,235798.55,100241.76,0,White,0,Christian,Attorney,Married,JD,1977,2009,0,0,0,0,0,1,0,0,0,0,
45,D,"Bracy, Randolph",4548,2016,115000,149697,0,Black,0,Baptist,Business Development Consultant,Married,MBA,1977,2013,0,0,0,0,1,0,0,0,0,0,
46,D,"Antone, Bruce",4269,2016,207500,29634,0,Black,0,Methodist,Consultant,Married,BS,1960,2003,0,0,0,0,0,0,0,1,0,0,
47,R,"Miller, Mike",4606,2016,435640,47406,0,White,0,Catholic,Fundraising and Development,Married,MBA,1968,2015,0,0,0,0,0,0,0,0,0,0,
48,D,"Torres, Jr., Victor Manuel ""Vic""",4538,2016,-3103.92,108772.37,0,Hispanic,0,Episcopal,NYC Transit Polic Detective (Ret); Marion County School Bus Driver (Ret); Lynx Bus Driver (Ret),Married,High School Diploma,1947,2013,0,0,0,0,0,0,0,1,0,0,
49,R,"Plasencia, Rene ""Coach P""",4607,2016,65341.99,70862.04,0,White,0,Christian,Teacher,Married,BS,1973,2015,0,0,0,0,0,0,0,0,0,0,
50,R,"Goodson, Tom",4500,2016,4491471,165446,0,White,0,Baptist,Road Contractor,Married,BS,1951,2011,0,0,0,0,0,0,0,0,0,0,
51,R,"Crisafulli, Steve",4448,2016,,,0,White,0,Christian,Real Estate Broker/Agribusinessman,Married,BS,1971,2009,1,0,0,0,0,0,0,0,0,0,
52,R,"Workman, Ritch",4446,2016,,,0,White,16,Protestant,Director of Business Development of Keiser University,Married,BS,1973,2009,0,0,0,0,1,2,0,0,0,0,
53,R,"Tobia, John",4447,2016,438000,103349.5,0,White,0,N/A,College Professor,,MS,1978,2009,0,0,0,0,1,0,0,0,0,0,
54,R,"Mayfield, Debbie",4456,2016,,,1,White,0,Baptist,Legislator,Widowed,High School Diploma,1956,2009,0,0,0,0,0,0,1,0,0,0,
55,R,"Pigman, Cary",4551,2016,437842,511505,0,White,24,Christian,Emergency Medicine Physician,Married,MD,1958,2013,0,0,0,0,0,0,0,0,1,0,
56,R,"Albritton, Ben",4508,2016,2097752.2,371456.65,0,White,0,Christian,Citrus Grower/Consultant and Small Business Owner,Married,BS,1968,2011,0,0,0,1,0,1,2,0,0,0,
57,R,"Raburn, Jake",4552,2016,159870.39,94056.62,0,White,0,Southern Baptist,Agricultural Marketing/Farming,Married,BS,1985,2013,0,0,0,0,0,0,1,0,0,0,
58,R,"Raulerson, Daniel D. ""Dan""",4553,2016,3790000,549000,0,White,0,Methodist,CPA,Married,BS,1957,2013,0,0,0,0,0,0,0,1,0,0,
59,R,"Spano, Ross",4568,2016,279044.75,49322.12,0,White,0,Christian,Attorney,Married,JD,1966,2013,0,0,0,0,0,0,0,1,0,0,
60,R,"Young, Dana D.",4507,2016,4827161,35422,1,White,0,Methodist,Attorney,Married,JD,1964,2011,0,1,0,1,0,0,0,0,0,0,
61,D,"Narain, Edwin",4608,2016,,,0,Black,0,Christian,Area Manager,Married,"MBA, JD",1976,2015,0,0,0,0,0,0,0,0,0,0,
62,D,"Cruz, Janet",4477,2016,,,1,White,0,Catholic,Optician/Healthcare Executive,Married,AA,1956,2010,0,0,0,1,0,0,0,0,1,0,
63,R,"Harrison, Shawn",4510,2016,6059433,964693,0,White,0,Methodist,Attorney,Married,JD,1965,2011,0,0,0,0,0,0,0,0,0,0,
64,R,"Grant, James ""J.W.""",4504,2016,234666,138653.47,0,White,0,Christian,Entrepreneur,Not Married,JD,1982,2011,0,0,0,0,0,1,0,0,0,0,
65,R,"Sprowls, Chris",4609,2016,166074.67,154460.5,0,White,0,Christian,Lawyer,Married,JD,1984,2015,0,0,0,0,0,0,0,0,1,0,
66,R,"Ahern, Larry",4505,2016,746387,34589,0,White,5,Catholic,Small Business Owner,Married,High School Diploma,1955,2011,0,0,0,0,0,0,0,0,0,0,
67,R,"Latvala, Chris",4610,2016,254660,72623.4,0,White,0,Christian,Vice President of a small business,Not Married,BS,1981,2015,0,0,0,0,0,0,0,1,0,0,
68,D,"Dudley, Dwight",4570,2016,,,0,White,0,Catholic,Attorney,Married,JD,1954,2013,0,0,0,0,0,0,0,0,0,1,
69,R,"Peters, Kathleen M.",4571,2016,469402,109581,1,White,0,Catholic,Public Affairs,Married,BS,1961,2013,0,0,0,0,0,0,0,0,0,0,
70,D,"Rouson, Darryl Ervin",4438,2016,1050,231820,0,Black,0,N/A,Attorney,Married,JD,1955,2009,0,0,0,1,0,0,0,0,0,0,
71,R,"Boyd, Jim",4511,2016,5846778,533133,0,White,0,Christian,Insurance/Real Estate,Married,BS,1956,2011,0,0,0,1,0,1,0,0,0,0,
72,R,"Pilon, Ray",4512,2016,,,0,White,0,St. Martha Roman Catholic Church of Sarasota,Strategic Planning Consultant/Retired Law Enforcement Officer,Married,BS,1945,2011,0,0,0,0,0,0,1,0,0,0,
73,R,"Steube, W. Gregory ""Greg""",4509,2016,402744.2,184571.27,0,White,0,Methodist,Attorney,Married,JD,1978,2011,0,0,0,1,0,0,0,0,0,0,
74,R,"Gonzalez, Julio",4611,2016,431917,120088,0,Hispanic,0,Catholic,Orthopaedic Surgeon,Married,"JD, MD",1964,2015,0,0,0,0,0,0,1,0,0,1,
75,R,"Roberson, Kenneth L. ""Ken""",4454,2016,,,0,White,0,Methodist,Funeral Director,Divorced,BS,1943,2009,0,0,0,1,0,0,0,0,1,0,
76,R,"Rodrigues, Ray Wesley",4572,2016,208922.87,83535.1,0,Hispanic,0,Church of Christ,Budget Manager,Married,BS,1970,2013,0,0,0,0,1,0,1,0,0,1,
77,R,"Eagle, Dane",4573,2016,53080.85,115562.3,0,White,0,Christian,Commercial Real Estate Broker,Not Married,BS,1983,2013,0,0,0,0,0,0,0,0,0,0,
78,R,"Fitzenhagen, Heather",4574,2016,367549.99,177165.76,1,White,0,Episcopal,Attorney,Married,JD,1960,2013,0,0,0,0,0,0,0,0,0,0,
79,R,"Caldwell, Matt",4513,2016,112433.4,73885.07,0,White,0,Church of Christ,Real Estate Appraiser,Married,BS,1981,2011,0,0,0,1,1,1,0,0,0,0,
80,R,"Hudson, Matt",4420,2016,,,0,White,0,Catholic,Vice President of Operations and Broker of VIP Realty Group,Married,,1966,2008,0,0,0,1,0,0,0,0,0,1,
81,D,"Rader, Kevin",4431,2016,8580165,2488826,0,White,0,Jewish,Insurance Agent/Business Owner,Married,BS,1968,2009,0,0,0,1,0,0,0,0,0,0,
82,R,"Magar, MaryLynn ""ML""",4575,2016,2848969,115789,1,White,0,Catholic,Business Owner,Married,BS,1936,2013,0,0,0,0,0,0,0,0,1,0,
83,R,"Harrell, Gayle B.",4211,2016,2059558,26570,1,White,0,Presbyterian,Health Information Technology Consultant ,Married,MS,1943,2001,0,0,0,0,0,0,0,0,1,1,
84,D,"Lee, Jr., Larry",4576,2016,3199880,295000,0,Black,0,Baptist,Insurance Agent,Married,BS,1953,2013,0,0,0,0,0,0,0,0,0,0,
85,R,"Rooney, Jr., Patrick Joseph",4516,2016,,,0,White,0,Catholic,"President, Palm Beach Kennel Club",Married,"MBA, JD",1964,2011,0,0,0,0,0,0,0,0,0,0,
86,D,"Pafford, Mark S.",4435,2016,,,0,White,0,Jewish,"CEO, Florida CHAIN",Married,BS,1966,2009,0,0,1,1,0,1,0,0,0,0,
87,D,"Kerner, Dave",4577,2016,214020.22,152639.42,0,White,0,N/A,Attorney,Married,JD,1983,2013,0,0,0,0,0,0,0,0,0,1,
88,D,"Powell, Bobby",4578,2016,186000,65689.02,0,Black,0,N/A,Urban and Regional Planner,Not Married,MSP,1981,2013,0,0,0,0,0,0,1,0,0,0,
89,R,"Hager, Bill",4518,2016,11901538,1081817,0,White,0,Presbyterian,Lawyer/Reinsurance Arbitrator,Married,"Med, JD",1947,2011,0,0,0,0,0,0,0,1,0,0,
90,D,"Berman, Lori",4517,2016,2231772,97547,1,White,0,Jewish,Attorney,Married,JD,1958,2011,0,0,0,0,1,1,0,0,1,0,
91,D,"Slosberg, Irving ""Irv""",4232,2016,,,0,White,0,Jewish,"President, Slosberg Report from Israel",Married,BS,1947,2001,0,0,0,0,0,0,0,0,0,0,
92,D,"Clarke-Reed, Gwyndolen ""Gwyn""",4432,2016,,,1,Black,0,Episcopal,Retired Educator,Not Married,MS,1940,2009,0,0,0,1,0,0,0,0,1,0,
93,R,"Moraitis, Jr., George R.",4520,2016,990992,357920,0,White,20,Presbyterian,Real Estate Attorney,Married,JD,1970,2011,0,0,0,1,1,0,0,0,0,0,
94,D,"DuBose, Bobby B.",4612,2016,-51350,26646.12,0,Black,0,Baptist,Self-Employed,Married,BS,1971,2015,0,0,0,0,0,0,0,0,0,0,
95,D,"Rogers, Hazelle P. ""Hazel""",4434,2016,,,1,Black,0,Christian,Real Estate Professional/Consultant,Married,BS,1952,2009,0,0,0,0,1,0,0,0,0,0,
96,D,"Jacobs, Kristin Diane",4613,2016,333682,90930,1,White,0,Methodist,Public Policy Professional Specializing in Water and Transportation,Married,BS,1959,2015,0,0,0,0,0,0,1,0,0,0,
97,D,"Moskowitz, Jared Evan",4560,2016,808295,210673,0,White,0,Jewish,Attorney,Married,JD,1980,2013,0,0,0,0,1,0,0,0,0,1,
98,D,"Edwards, Katie A.",4566,2016,-54770,177037,1,White,0,Jewish,Attorney,Not Married,JD,1981,2013,0,0,0,0,0,0,0,0,1,1,
99,D,"Jenne, Evan",4365,2016,143559.09,53097,0,White,0,Episcopal,Self-Employed,Not Married,MPA,1977,2007,0,0,0,0,0,1,0,0,0,0,
100,D,"Geller, Joseph",4614,2016,862746.5,177438.02,0,White,0,Jewish,Attorney,Married,JD,1954,2015,0,0,0,0,0,0,0,1,0,0,
101,D,"Jones, Shevrin D. ""Shev""",4559,2016,-60970.62,127113,0,Black,0,Christian,"Research Specialist of Administrative Operations, Broward's Sheriff's Office",Married,BS,1983,2013,0,0,0,0,0,0,0,0,1,0,
102,D,"Pritchett, Sharon",4561,2016,218919,83919,1,Black,0,Baptist,Retired Chief Investigator,Not Married,MS,1951,2013,0,0,0,0,0,1,0,0,0,0,
103,R,"Diaz, Jr., Manny",4558,2016,241923.72,150604,0,Hispanic,0,Roman Catholic,College Administrator,Married,MS,1973,2013,0,0,0,0,0,0,0,0,0,0,
104,D,"Stark, Richard",4557,2016,2125182,149490,0,White,0,Jewish,Insurance Broker,Married,BS,1952,2013,0,0,0,0,1,0,0,0,0,0,
105,R,"Trujillo, Carlos",4527,2016,1578500,969317,0,Hispanic,0,Roman Catholic,Attorney,Married ,JD,1983,2011,0,0,0,0,0,0,0,0,0,1,
106,R,"Passidomo, Kathleen C.",4514,2016,6353186.53,159994.49,1,White,0,Roman Catholic,Attorney,Married,JD,1953,2011,0,0,0,0,0,0,0,0,0,1,
107,D,"Watson, Barbara",4532,2016,1299300,63000,1,Black,0,N/A,"Business Owner, Politician",Married,,1950,2012,0,0,0,0,0,0,0,0,0,0,
108,D,"Campbell, Daphne D.",4522,2016,356211.08,29697,1,Black,0,Seventh-Day Adventist,Registered Nurse,Married,BS,1957,2011,0,0,0,0,0,0,0,0,0,0,
109,D,"Stafford, Cynthia A.",4523,2016,25500,39097,1,Black,0,Baptist,"Attorney, Adjunct College Professor",Not Married,JD,1967,2011,0,0,0,1,0,0,0,1,0,0,
110,R,"Oliva, Jose R.",4534,2016,13397788.66,9718593,0,Hispanic,0,Catholic,Chief Executive Officer,Married,High School Diploma,1973,2012,0,0,0,1,0,1,0,0,0,0,
111,R,"Avila, Bryan",4615,2016,229179,38087,0,Hispanic,0,Roman Catholic,College Professor,Married,"MS, MPA",1984,2015,0,0,0,0,0,0,0,0,1,0,
112,D,"Rodriguez, Jose Javier",4563,2016,343298,65183.46,0,Hispanic,0,Catholic,Attorney,Married,JD,1978,2013,0,0,0,0,1,1,0,0,0,0,
113,D,"Richardson, David",4556,2016,2796293,52078,0,White,0,N/A,CPA/Consultant,Not Married,MBA,1957,2013,0,0,0,1,0,1,0,0,0,0,
114,R,"Fresen, Erik",4461,2016,,,0,White,0,Catholic,Land Use Consultant,Married,BS,1976,2009,0,0,0,1,0,0,0,1,0,0,
115,R,"Bileca, Michael",4528,2016,16519131,615876,0,Hispanic,0,Baptist,Entrepreneur,Married,MBA,1970,2011,0,0,0,0,0,0,0,1,0,0,
116,R,"Diaz, Jose Felix",4526,2016,277709.95,289697,0,Hispanic,0,Catholic,Attorney,Married,JD,1980,2011,0,0,0,1,0,0,0,1,0,0,
117,D,"McGhee, Kionne L.",4555,2016,72000,87090.97,0,Black,0,Baptist,Attorney,Married,JD,1977,2013,0,0,0,0,0,0,0,0,0,0,
118,R,"Artiles, Frank",4529,2016,463000,148723,0,White,0,Christian,Public Adjuster & Appraiser/General Contractor,Married,LLM,1973,2011,0,0,0,0,1,1,0,0,0,0,
119,R,"Nunez, Jeanette M.",4524,2016,680017.5,177697,1,Hispanic,0,Christian,Healthcare,Married,MS,1972,2011,0,0,0,1,0,0,0,0,0,0,
120,R,"Raschein, Holly",4562,2016,108171,61497,1,White,0,Baptist,Healthcare Special Projects Manager,Married,BS,1980,2013,0,0,0,1,0,0,0,0,0,0,
